latitude,longitude,vehicle_type,junction_name,police_station,hours_blocked,CIS
12.9814367,77.6086784,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813347,77.6102474,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9802034,77.6072863,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9811244,77.6103888,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9436193,77.6088661,TANKER,BTP133 - Adugodi Junction,Adugodi,3.0,45.0
12.981411,77.6086846,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814456,77.6086645,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813331,77.6089488,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9816255,77.6082992,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813977,77.6102247,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
13.0042242,77.5684688,TANKER,No Junction,Malleshwaram,3.0,45.0
13.00683,77.5683383,TANKER,No Junction,Malleshwaram,3.0,45.0
12.981118,77.6099239,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.8435166,77.6445213,TANKER,No Junction,Electronic City,3.0,45.0
12.9803281,77.6073601,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9817504,77.6103578,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9811206,77.6101643,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813082,77.6090335,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.981437,77.6088116,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813597,77.6102719,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9812448,77.6101389,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9813519,77.6102241,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9960411,77.6681465,TANKER,No Junction,Mahadevapura,3.0,45.0
12.9814236,77.6086636,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9798335,77.6072817,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9814939,77.6084824,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9809936,77.610074,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9816065,77.6103127,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
12.9796721,77.6071908,CAR,BTP051 - Safina Plaza Junction,Shivajinagar,3.0,45.0
